tmp,ewg_id,PFA,Location detected,Maximum Level (ppt)Years tested,Years tested,Maximum Level (ppt)*
,266,PFHpA,GroundwaterOn-base,"1,6002019",NA,NA
,266,PFHxS,GroundwaterOn-base,"33,0002019",NA,NA
,266,PFNA,GroundwaterOn-base,5602019,NA,NA
,266,PFOA,GroundwaterOn-base,"1,9002019",NA,NA
,266,PFOS,GroundwaterOn-base,"13,0002019",NA,NA
,266,PFOS+PFOA,GroundwaterOn-base,"13,4902019",NA,NA
,267,PFBS,GroundwaterOn-base,6602019,NA,NA
,267,PFHpA,GroundwaterOn-base,2602019,NA,NA
,267,PFHxS,GroundwaterOn-base,"5,4002019",NA,NA
,267,PFNA,GroundwaterOn-base,322019,NA,NA
,267,PFOA,GroundwaterOn-base,6002019,NA,NA
,267,PFOS,GroundwaterOn-base,"8,7002019",NA,NA
,267,PFOS+PFOA,GroundwaterOn-base,8472019,NA,NA
,268,PFBS,GroundwaterOn-base,"76,7002017",NA,NA
,268,PFHpA,GroundwaterOn-base,"38,2002017",NA,NA
,268,PFHxA,GroundwaterOn-base,"247,0002017",NA,NA
,268,PFHxS,GroundwaterOn-base,"702,0002017",NA,NA
,268,PFNA,GroundwaterOn-base,"4,2702017",NA,NA
,268,PFOA,GroundwaterOn-base,"384,0002017",NA,NA
,268,PFOS,GroundwaterOn-base,"171,0002017",NA,NA
,268,PFOS+PFOA,GroundwaterOn-base,"448,2002017",NA,NA
,269,NEtFOSAA,GroundwaterOn-base,"15,0002018",NA,NA
,269,NMeFOSAA,GroundwaterOn-base,"15,0002018",NA,NA
,269,PFBS,GroundwaterOn-base,"25,9002018",NA,NA
,269,PFDA,GroundwaterOn-base,"5,8002018",NA,NA
,269,PFDoA,GroundwaterOn-base,"5,8002018",NA,NA
,269,PFHpA,GroundwaterOn-base,"19,1002018",NA,NA
,269,PFHxA,GroundwaterOn-base,"100,0002018",NA,NA
,269,PFHxS,GroundwaterOn-base,"359,0002018",NA,NA
,269,PFNA,GroundwaterOn-base,9972018,NA,NA
,269,PFOA,GroundwaterOn-base,"116,0002018",NA,NA
,269,PFOS,GroundwaterOn-base,"164,0002018",NA,NA
,269,PFOS+PFOA,GroundwaterOn-base,"280,0002018",NA,NA
,269,PFTeA,GroundwaterOn-base,"5,8002018",NA,NA
,269,PFUnA,GroundwaterOn-base,"5,8002018",NA,NA
,270,PFBS,GroundwaterOn-base,"56,0002018",NA,NA
,270,PFOA,GroundwaterOn-base,"62,0002018",NA,NA
,270,PFOS,GroundwaterOn-base,"260,0002018",NA,NA
,270,PFOS+PFOA,GroundwaterOn-base,"277,0002018",NA,NA
,271,PFBS,GroundwaterOn-base,"3,3002018",NA,NA
,271,PFHpA,GroundwaterOn-base,"2,5002018",NA,NA
,271,PFHxS,GroundwaterOn-base,"50,0002018",NA,NA
,271,PFNA,GroundwaterOn-base,1202018,NA,NA
,271,PFOA,GroundwaterOn-base,"14,0002018",NA,NA
,271,PFOS,GroundwaterOn-base,"47,0002018",NA,NA
,271,PFOS+PFOA,GroundwaterOn-base,"61,0002018",NA,NA
,272,6:2 FTS,GroundwaterOn-base,"1,2002018",NA,NA
,272,8:2 FTS,GroundwaterOn-base,212018,NA,NA
,272,PFBS,GroundwaterOn-base,"1,0002018",NA,NA
,272,PFDA,GroundwaterOn-base,3.02018,NA,NA
,272,PFDoA,GroundwaterOn-base,2.12018,NA,NA
,272,PFHpA,GroundwaterOn-base,7002018,NA,NA
,272,PFHxA,GroundwaterOn-base,"3,5002018",NA,NA
,272,PFHxS,GroundwaterOn-base,"5,4002018",NA,NA
,272,PFNA,GroundwaterOn-base,152018,NA,NA
,272,PFOA,GroundwaterOn-base,"2,7002018",NA,NA
,272,PFOS,GroundwaterOn-base,"4,9002018",NA,NA
,272,PFOS+PFOA,GroundwaterOn-base,"7,6002018",NA,NA
,272,PFTeA,GroundwaterOn-base,1.02018,NA,NA
,272,PFTrDA,GroundwaterOn-base,2.12018,NA,NA
,272,PFUnA,GroundwaterOn-base,2.12018,NA,NA
,273,PFBS,GroundwaterOn-base,"24,0002017",NA,NA
,273,PFOA,GroundwaterOn-base,"4,6002017",NA,NA
,273,PFOS,GroundwaterOn-base,"73,0002017",NA,NA
,273,PFOS+PFOA,GroundwaterOn-base,"77,6002017",NA,NA
,274,6:2 FTS,GroundwaterOn-base,"1,6002018",NA,NA
,274,8:2 FTS,GroundwaterOn-base,1302018,NA,NA
,274,PFBS,GroundwaterOn-base,632018,NA,NA
,274,PFDA,GroundwaterOn-base,3102018,NA,NA
,274,PFDoA,GroundwaterOn-base,272018,NA,NA
,274,PFHpA,GroundwaterOn-base,3002018,NA,NA
,274,PFHxA,GroundwaterOn-base,"1,5002018",NA,NA
,274,PFHxS,GroundwaterOn-base,"2,2002018",NA,NA
,274,PFNA,GroundwaterOn-base,8.72018,NA,NA
,274,PFOA,GroundwaterOn-base,8602018,NA,NA
,274,PFOS,GroundwaterOn-base,"6,4002018",NA,NA
,274,PFOS+PFOA,GroundwaterOn-base,"7,2602018",NA,NA
,274,PFUnA,GroundwaterOn-base,2.02018,NA,NA
,275,PFBS,GroundwaterOn-base,"47,0002018",NA,NA
,275,PFHpA,GroundwaterOn-base,"55,0002018",NA,NA
,275,PFHxS,GroundwaterOn-base,"340,0002018",NA,NA
,275,PFNA,GroundwaterOn-base,"7,8002018",NA,NA
,275,PFOA,GroundwaterOn-base,"360,0002018",NA,NA
,275,PFOS,GroundwaterOn-base,"52,0002018",NA,NA
,275,PFOS+PFOA,GroundwaterOn-base,"412,0002018",NA,NA
,276,PFBS,GroundwaterOn-base,842018,NA,NA
,276,PFOA,GroundwaterOn-base,342018,NA,NA
,276,PFOS,GroundwaterOn-base,1462018,NA,NA
,276,PFOS+PFOA,GroundwaterOn-base,1682018,NA,NA
,276,PFHxA,GroundwaterOn-base,"1,4702018",NA,NA
,276,PFHpA,GroundwaterOn-base,952018,NA,NA
,276,PFNA,GroundwaterOn-base,3.52018,NA,NA
,276,PFHxS,GroundwaterOn-base,1492018,NA,NA
,277,PFBS,GroundwaterOn-base,"1,3002019",NA,NA
,277,PFHpA,GroundwaterOn-base,"3,9002019",NA,NA
,277,PFHxS,GroundwaterOn-base,"20,0002019",NA,NA
,277,PFNA,GroundwaterOn-base,482019,NA,NA
,277,PFOA,GroundwaterOn-base,"3,9002019",NA,NA
,277,PFOS,GroundwaterOn-base,"1,1002019",NA,NA
,277,PFOS+PFOA,GroundwaterOn-base,"4,0202019",NA,NA
,278,PFBS,GroundwaterOn-base,6702019,NA,NA
,278,PFHpA,GroundwaterOn-base,"4,4002019",NA,NA
,278,PFHxS,GroundwaterOn-base,"6,8002019",NA,NA
,278,PFNA,GroundwaterOn-base,2502019,NA,NA
,278,PFOA,GroundwaterOn-base,"6,6002019",NA,NA
,278,PFOS,GroundwaterOn-base,"71,0002019",NA,NA
,278,PFOS+PFOA,GroundwaterOn-base,"77,6002019",NA,NA
,279,PFBS,GroundwaterOn-base,"5,7002019",NA,NA
,279,PFHpA,GroundwaterOn-base,"3,7002019",NA,NA
,279,PFHxS,GroundwaterOn-base,"42,0002019",NA,NA
,279,PFNA,GroundwaterOn-base,"8,5002019",NA,NA
,279,PFOA,GroundwaterOn-base,"9,5002019",NA,NA
,279,PFOS,GroundwaterOn-base,"130,0002019",NA,NA
,279,PFOS+PFOA,GroundwaterOn-base,"139,5002019",NA,NA
,280,6:2 FTS,GroundwaterOn-base,"7,6002018",NA,NA
,280,8:2 FTS,GroundwaterOn-base,"1,0002018",NA,NA
,280,PFBS,GroundwaterOn-base,5402018,NA,NA
,280,PFHpA,GroundwaterOn-base,7102018,NA,NA
,280,PFHxA,GroundwaterOn-base,"4,5002018",NA,NA
,280,PFOA,GroundwaterOn-base,3602018,NA,NA
,280,PFOS,GroundwaterOn-base,"44,0002018",NA,NA
,280,PFOS+PFOA,GroundwaterOn-base,"44,3602018",NA,NA
,281,PFBS,GroundwaterOn-base,"8,4002018",NA,NA
,281,PFHpA,GroundwaterOn-base,"11,0002018",NA,NA
,281,PFHxS,GroundwaterOn-base,"79,0002018",NA,NA
,281,PFNA,GroundwaterOn-base,292018,NA,NA
